Order_ID,Order_Date,Customer_Name,Outlet,Product,Category,Quantity,Unit_Price,Payment_Method,Order_Type,Total_Sales
FF10001,2025-01-26,Isha,Tripuri,Classic Burger,Burgers,3.0,-99.0,UPI,Delivery,-297.0
FF10002,2025-04-19,Kavya,Model Town,Classic Burger,Burgers,3.0,149.0,UPI,Delivery,447.0
FF10003,2025-03-13,Neha,Tripuri,Veg Burger,Burgers,2.0,129.0,Card,Takeaway,258.0
FF10004,2025-02-28,Rohan,Leela Bhawan,Veg Burger,Burgers,4.0,129.0,Cash,Delivery,516.0
FF10005,2025-02-24,Rohan,Urban Estate,Margherita Pizza,Pizza,3.0,299.0,UPI,Dine-in,897.0
FF10006,2025-05-05,Arjun,Tripuri,Chicken Wings,Sides,2.0,179.0,Card,Delivery,358.0
FF10007,2025-05-17,Simran,Tripuri,Lemonade,Beverages,1.0,89.0,Card,Delivery,89.0
FF10008,2025-01-01,Sneha,Leela Bhawan,Chicken Wings,Sides,1.0,179.0,UPI,Takeaway,179.0
FF10009,2025-03-08,Harsh,Leela Bhawan,Classic Burger,Burgers,3.0,149.0,Card,Delivery,447.0
FF10010,2025-05-14,Yash,Leela Bhawan,Lemonade,Beverages,3.0,89.0,UPI,Dine-in,267.0
FF10011,2025-04-16,Manish,Leela Bhawan,Chicken Wings,Sides,1.0,179.0,Cash,Delivery,179.0
FF10012,2025-05-26,Vikas,Tripuri ,Margherita Pizza,Pizza,4.0,299.0,UPI,DELIVERY,1196.0
FF10013,2025-01-08,Isha,Model Town,Lemonade,Beverages,3.0,89.0,Cash,Dine-in,267.0
FF10014,2025-04-23,Tanvi,Urban Estate,Margherita Pizza,Pizza,1.0,299.0,UPI,Takeaway,299.0
FF10015,2025-02-11,Rohan,Urban Estate,French Fries,Sides,2.0,99.0,UPI,Delivery,198.0
FF10016,2025-05-17,Manish,Model Town,Veg Burger,Burgers,3.0,129.0,Card,Takeaway,387.0
FF10017,2025-01-29,Neha,Leela Bhawan,Garlic Bread,Sides,2.0,129.0,UPI,TAKEAWAY,258.0
FF10018,2025-05-31,Pooja,Tripuri,Farmhouse Pizza,Pizza,1.0,349.0,UPI,Delivery,349.0
FF10019,2025-02-26,Gurpreet,Urban Estate,Lemonade,Beverages,4.0,89.0,Cash,Dine-in,356.0
FF10020,2025-06-11,Gurpreet,Tripuri,French Fries,Sides,1.0,99.0,UPI,Delivery,99.0
FF10021,2025-04-13,Sahil,Model Town,Farmhouse Pizza,Pizza,1.0,349.0,UPI,Dine-in,349.0
FF10022,2025-03-29,Vikas,Urban Estate,Lemonade,Beverages,1.0,89.0,UPI,Dine-in,89.0
FF10023,2025-04-02,Isha,Urban Estate,Garlic Bread,Sides,4.0,129.0,Cash,Dine-in,516.0
FF10024,2025-06-05,Karan,Model Town,Cold Coffee,Beverages,3.0,119.0,UPI,Dine-in,357.0
FF10025,2025-05-15,Pooja,Model Town,Cold Coffee,Beverages,3.0,119.0,Card,Takeaway,357.0
FF10026,2025-03-06,Karan,Leela Bhawan,Garlic Bread,Sides,2.0,129.0,UPI,Delivery,258.0
FF10027,2025-01-08,Aditya,Tripuri,Cheese Burger,Burgers,1.0,199.0,UPI,Dine-in,199.0
FF10028,2025-04-15,Pooja,Model Town,Chicken Wings,Sides,1.0,179.0,UPI,Delivery,179.0
FF10029,2025-04-16,Aditya,Urban Estate,French Fries,Sides,2.0,99.0,UPI,Takeaway,198.0
FF10030,2025-04-27,Vikas,Leela Bhawan,Veg Burger,Burgers,4.0,129.0,Card,Dine-in,516.0
FF10031,2025-03-22,Simran,Leela Bhawan,Lemonade,Beverages,4.0,89.0,UPI,Delivery,356.0
FF10032,2025-04-04,Rohan,Urban Estate,Cheese Burger,Burgers,3.0,199.0,UPI,Takeaway,597.0
FF10033,2025-03-26,Jaspreet,Urban Estate,Cold Coffee,Beverages,3.0,119.0,Card,Dine-in,357.0
FF10034,2025-03-19,Karan,TRIPURI,Cheese Burger,Burgers,4.0,199.0,Cash,Delivery,796.0
FF10035,2025-06-14,Rohan,Leela Bhawan,Coke,Beverages,1.0,59.0,Card,Delivery,59.0
FF10036,01/03/2025,Arjun,Urban Estate,Veg Burger,Burgers,2.0,129.0,Card,delivery ,258.0
FF10037,2025-03-25,Rohan,Model town,Classic Burger,Burgers,1.0,149.0,UPI,Takeaway,149.0
FF10038,2025-01-14,Rahul,Leela Bhawan,Veg Burger,Burgers,3.0,129.0,Cash,Dine-in,387.0
FF10039,2025-06-15,Vikas,Urban Estate,Farmhouse Pizza,Pizza,4.0,349.0,Card,Delivery,1396.0
FF10040,2025-04-03,Rohan,Leela Bhawan,Veg Burger,Burgers,4.0,129.0,UPI,Dine-in,516.0
FF10041,2025-03-01,Aditya,Urban Estate,Coke,Beverages,3.0,59.0,UPI,Dine-in,177.0
FF10042,2025-04-21,Kavya,Model Town,Classic Burger,Burgers,3.0,149.0,Card,Takeaway,447.0
FF10043,2025-01-02,Pooja,Tripuri,Lemonade,Beverages,2.0,89.0,Cash,Delivery,178.0
FF10044,2025-03-31,Gurpreet,Model Town,Chicken Wings,Sides,3.0,179.0,UPI,Delivery,537.0
FF10045,2025-06-14,Isha,Leela Bhawan,Veg Burger,Burgers,4.0,,UPI,Dine-in,
FF10046,2025-02-16,Rohan,Leela Bhawan,French Fries,Sides,1.0,99.0,Cash,Takeaway,99.0
FF10047,2025-06-22,Ananya,Tripuri,Coke,Beverages,1.0,59.0,Cash,Dine-in,59.0
FF10048,2025-05-04,Aman,Leela Bhawan,Lemonade,Beverages,1.0,89.0,UPI,Delivery,89.0
FF10049,2025-05-29,Karan,Tripuri,Coke,Beverages,4.0,59.0,UPI,Dine-in,236.0
FF10050,2025-06-03,Karan,Model Town,Classic Burger,Burgers,4.0,149.0,UPI,Delivery,596.0
FF10051,2025-05-21,Nisha,Model Town,Cold Coffee,Beverages,3.0,119.0,Cash,Delivery,357.0
FF10052,2025-06-29,Tanvi,Tripuri,Chicken Wings,Sides,4.0,179.0,UPI,Delivery,716.0
FF10053,2025-05-30,Arjun,Tripuri,Coke,Beverages,3.0,59.0,Card,Dine-in,177.0
FF10054,2025-01-04,Neha,Urban Estate,Farmhouse Pizza,Pizza,2.0,349.0,UPI,Delivery,698.0
FF10055,2025-03-08,Vikas,Tripuri,Farmhouse Pizza,Pizza,4.0,349.0,Cash,Takeaway,1396.0
FF10056,2025-05-05,Vikas,Tripuri,Farmhouse Pizza,Pizza,2.0,349.0,UPI,Delivery,698.0
FF10057,2025-03-30,Pooja,Leela Bhawan,Farmhouse Pizza,Pizza,4.0,349.0,Card,Dine-in,1396.0
FF10058,2025-04-21,Aman,Urban Estate,Lemonade,Beverages,2.0,89.0,UPI,Delivery,178.0
FF10059,2025-06-13,Aman,Urban Estate,Garlic Bread,Sides,2.0,129.0,Card,Delivery,258.0
FF10060,2025-06-17,Rohan,Model Town,Farmhouse Pizza,Pizza,4.0,349.0,UPI,Delivery,1396.0
FF10061,2025-01-09,Kavya,Model Town,Coke,Beverages,2.0,59.0,UPI,Dine-in,118.0
FF10062,2025-03-31,Jaspreet,Urban Estate,Coke,Beverages,4.0,59.0,UPI,Delivery,236.0
FF10063,2025-04-12,Simran,Model Town,Garlic Bread,Sides,4.0,129.0,UPI,Delivery,516.0
FF10064,2025-04-28,Riya,Urban Estate,Cold Coffee,Beverages,4.0,119.0,UPI,Dine-in,476.0
FF10065,2025-01-09,Rahul,Urban Estate,Coke,Beverages,3.0,59.0,Cash,Delivery,177.0
FF10066,2025-04-08,Yash,Urban Estate,Veg Burger,Burgers,1.0,129.0,UPI,Dine-in,129.0
FF10067,2025-01-25,Aditya,Urban Estate,Farmhouse Pizza,Pizza,2.0,349.0,Cash,Delivery,698.0
FF10068,2025-01-24,Riya,Urban Estate,Veg Burger,Burgers,,129.0,Card,Takeaway,
FF10069,2025-02-08,Nisha,Leela Bhawan,Garlic Bread,Sides,4.0,129.0,Cash,Delivery,516.0
FF10070,2025-04-11,Aman,Leela Bhawan,Cold Coffee,Beverages,2.0,119.0,UPI,Dine-in,238.0
FF10071,2025-03-19,Manish,Urban Estate,French Fries,Sides,4.0,99.0,UPI,Delivery,396.0
FF10072,2025-02-24,Kavya,Urban Estate,French Fries,Sides,1.0,99.0,Card,Takeaway,99.0
FF10073,2025-03-30,Riya,Urban Estate,Cold Coffee,Beverages,2.0,119.0,Card,Delivery,238.0
FF10074,2025-06-07,Karan,Tripuri,Cold Coffee,Beverages,2.0,119.0,UPI,Dine-in,238.0
FF10075,2025-03-31,Nisha,Urban Estate,Cheese Burger,Burgers,4.0,199.0,UPI,Delivery,796.0
FF10076,2025-01-23,Aditya,Model Town,Classic Burger,Burgers,4.0,149.0,Cash,Delivery,596.0
FF10077,2025-03-11,Riya,Urban Estate,French Fries,Sides,3.0,99.0,Card,Takeaway,297.0
FF10078,2025-01-23,Jaspreet,Model Town,Garlic Bread,Sides,3.0,129.0,Cash,Delivery,387.0
FF10079,2025-06-10,Aman,Model Town,Chicken Wings,Sides,4.0,179.0,UPI,Delivery,716.0
FF10080,2025-02-03,Neha,Urban Estate,Classic Burger,Burgers,2.0,149.0,UPI,Dine-in,298.0
